"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Dec-2022","EQ","608.50","618.00","607.55","607.55","616.70","617.30","614.05","622.70","425.00",11585602,"7,114,164,816.20",210728
"02-Dec-2022","EQ","607.50","609.60","604.25","608.10","607.60","607.55","607.29","622.70","425.00",7533838,"4,575,252,955.95",142901
"01-Dec-2022","EQ","607.85","609.80","601.55","602.45","608.00","608.10","605.68","622.70","425.00",14209313,"8,606,271,146.80",172004
"30-Nov-2022","EQ","608.50","611.40","598.40","608.55","602.95","602.45","603.09","622.70","425.00",15606230,"9,412,010,412.20",174362
"29-Nov-2022","EQ","607.10","611.80","607.10","608.60","608.10","608.55","609.32","622.70","425.00",6942919,"4,230,494,096.30",121735
"28-Nov-2022","EQ","605.60","610.90","602.35","607.40","608.00","608.60","606.01","622.70","425.00",7934274,"4,808,229,149.85",121851
"25-Nov-2022","EQ","610.55","613.70","606.25","609.35","607.20","607.40","609.30","622.70","425.00",9994513,"6,089,640,965.50",136359
"24-Nov-2022","EQ","609.75","611.30","605.80","607.65","609.60","609.35","608.75","622.70","425.00",8960032,"5,454,395,604.45",128229
"23-Nov-2022","EQ","601.55","609.60","601.00","599.10","607.10","607.65","606.50","622.70","425.00",12435924,"7,542,386,457.50",171897
"22-Nov-2022","EQ","598.15","600.70","596.15","598.10","599.00","599.10","598.56","622.70","425.00",8048595,"4,817,532,263.45",126028
"21-Nov-2022","EQ","602.10","602.10","595.35","602.70","598.00","598.10","598.39","622.70","425.00",7412419,"4,435,509,514.55",135865
"18-Nov-2022","EQ","601.00","605.75","597.15","599.05","602.05","602.70","601.12","622.70","425.00",12933675,"7,774,746,404.45",155935
"17-Nov-2022","EQ","599.10","602.75","596.15","599.75","598.45","599.05","599.41","622.70","425.00",8167131,"4,895,433,201.45",114824
"16-Nov-2022","EQ","599.95","603.50","596.00","600.85","599.00","599.75","600.52","622.70","425.00",11555749,"6,939,489,693.90",168811
"15-Nov-2022","EQ","594.30","602.10","592.65","592.55","601.50","600.85","597.70","622.70","425.00",10286417,"6,148,169,628.95",153811
